"Títulos";"Vencimento";"Últ. 30 dias";"Mêsanterior";"No ano";"12 meses";"Compra";"Venda"
"Tesouro Prefixado";"01/01/2020";"0,67";"0,63";"0,85";"9,04";"-";"6,49"
"Tesouro Prefixado";"01/01/2021";"1,22";"1,03";"1,33";"11,92";"-";"7,11"
"Tesouro Prefixado";"01/01/2022";"-";"-";"-";"-";"7,67";"7,79"
"Tesouro Prefixado";"01/01/2023";"1,54";"1,48";"1,98";"14,37";"-";"8,25"
"Tesouro Prefixado";"01/01/2025";"1,71";"1,97";"2,76";"16,35";"8,67";"8,79"
"Tesouro Prefixado com Juros Semestrais";"01/01/2021";"1,25";"1,06";"1,36";"11,08";"-";"7,07"
"Tesouro Prefixado com Juros Semestrais";"01/01/2023";"1,45";"1,55";"1,99";"12,91";"-";"8,17"
"Tesouro Prefixado com Juros Semestrais";"01/01/2025";"1,67";"1,87";"2,55";"14,05";"-";"8,63"
"Tesouro Prefixado com Juros Semestrais";"01/01/2027";"1,58";"1,56";"2,44";"15,03";"-";"8,89"
"Tesouro Prefixado com Juros Semestrais";"01/01/2029";"2,02";"1,57";"2,53";"16,30";"8,85";"8,97"
"Tesouro Selic";"01/03/2021";"0,51";"0,48";"0,73";"6,36";"-";"0,03"
"Tesouro Selic";"01/03/2023";"0,41";"0,38";"0,63";"6,21";"-";"0,05"
"Tesouro Selic";"01/03/2025";"-";"-";"-";"-";"0,02";"0,06"
"Tesouro IGPM+ com Juros Semestrais";"01/04/2021";"0,73";"-0,28";"0,06";"13,35";"-";"3,14"
"Tesouro IGPM+ com Juros Semestrais";"01/01/2031";"1,30";"2,23";"2,53";"16,63";"-";"4,33"
"Tesouro IPCA+";"15/05/2019";"0,56";"0,65";"0,91";"6,84";"-";"2,20"
"Tesouro IPCA+";"15/08/2024";"1,02";"2,03";"2,25";"11,51";"4,12";"4,24"
"Tesouro IPCA+";"15/05/2035";"2,00";"8,00";"7,48";"18,43";"4,51";"4,63"
"Tesouro IPCA+";"15/05/2045";"2,78";"12,73";"11,64";"24,55";"4,51";"4,63"
"Tesouro IPCA+ com Juros Semestrais";"15/08/2020";"0,62";"0,97";"1,11";"9,50";"-";"2,81"
"Tesouro IPCA+ com Juros Semestrais";"15/08/2024";"0,97";"1,82";"2,01";"11,02";"-";"4,17"
"Tesouro IPCA+ com Juros Semestrais";"15/08/2026";"1,12";"2,36";"2,81";"12,02";"-";"4,23"
"Tesouro IPCA+ com Juros Semestrais";"15/05/2035";"1,58";"5,13";"4,98";"14,73";"4,40";"4,52"
"Tesouro IPCA+ com Juros Semestrais";"15/05/2045";"1,02";"6,30";"5,86";"16,90";"-";"4,63"
"Tesouro IPCA+ com Juros Semestrais";"15/08/2050";"1,04";"7,09";"6,26";"17,93";"-";"4,61"
